id,value
id_0,26.0530951335
id_1,64.2553653047
id_2,19.0003149053
id_3,28.7651080883
id_4,9.53021598062
id_5,31.2836400431
id_6,41.3679786045
id_7,17.3158899577
id_8,49.4101955921
id_9,32.2101854273
id_10,38.6984833428
id_11,59.7710367347
id_12,34.9306670964
id_13,39.165025606
id_14,27.3599291437
id_15,14.0990809444
id_16,50.4405469136
id_17,23.4973250163
id_18,15.7617377673
id_19,16.3678225676
id_20,15.0808965408
id_21,29.8383152114
id_22,38.5689753918
id_23,11.6330819181
id_24,62.7543551694
id_25,46.9485471059
id_26,27.8374504476
id_27,8.16112810592
id_28,29.1213592371
id_29,36.242635582
id_30,16.4949370051
id_31,11.9364573278
id_32,17.8856728622
id_33,10.4730675966
id_34,16.1596040593
id_35,39.1959716177
id_36,22.0961438244
id_37,26.9299881429
id_38,4.95011489548
id_39,60.1277047383
id_40,47.3391643415
id_41,23.2136265737
id_42,53.8353694835
id_43,19.6845374433
id_44,44.629896282
id_45,47.5156540002
id_46,57.7987831786
id_47,41.3141540799
id_48,56.7288124542
id_49,39.9463091694
id_50,30.8317229293
id_51,22.8826136709
id_52,40.6954754006
id_53,24.2108080511
id_54,37.6036513312
id_55,39.3277293358
id_56,25.0019266311
id_57,21.7076504949
id_58,35.3451858396
id_59,31.5236463821
id_60,11.5374674678
id_61,22.09938322
id_62,30.6859516137
id_63,53.2606861809
id_64,50.8755123617
id_65,27.235265997
id_66,37.8630077627
id_67,52.4933018269
id_68,30.3930162822
id_69,38.8419537627
id_70,65.4187797516
id_71,53.4915344069
id_72,42.018740912
id_73,15.4333198803
id_74,14.2559082692
id_75,34.9085689831
id_76,64.1388230706
id_77,3.2107071079
id_78,39.2272687993
id_79,40.3034173346
id_80,9.87827308148
id_81,21.5473895997
id_82,5.87475097426
id_83,31.6519286254
id_84,9.45688567429
id_85,6.98789528323
id_86,17.1113302471
id_87,10.9036887564
id_88,18.9013168398
id_89,23.6090224995
id_90,34.2658969093
id_91,12.6547615497
id_92,12.9379670166
id_93,12.0782213691
id_94,37.1106235107
id_95,16.334335021
id_96,16.1864699931
id_97,9.49029885157
id_98,10.8721325868
id_99,6.00175631447
id_100,10.5982196297
id_101,17.9575452859
id_102,11.4365001533
id_103,9.5784599163
id_104,12.8597759637
id_105,36.2440052093
id_106,24.5801052701
id_107,9.10012494384
id_108,16.8218002518
id_109,16.0416323171
id_110,11.9243212167
id_111,13.8035526518
id_112,16.8993570561
id_113,24.3262868129
id_114,17.4813376577
id_115,16.804957108
id_116,7.19792594765
id_117,43.3279490522
id_118,25.8476504804
id_119,2.81360108591
id_120,0.572796094229
id_121,11.0801668511
id_122,12.4854693241
id_123,11.4504822895
id_124,7.34257605361
id_125,24.7056237248
id_126,22.3864007193
id_127,8.69398105414
id_128,17.5632612065
id_129,10.6698146154
id_130,-0.90295985517
id_131,33.1682837812
id_132,14.2623697478
id_133,18.1287475
id_134,25.5327662537
id_135,23.0162192443
id_136,10.4925460828
id_137,22.9591253412
id_138,83.1983759894
id_139,60.5529412223
id_140,28.5304568139
id_141,16.5898867153
id_142,24.2070284214
id_143,7.80394985681
id_144,13.6927917383
id_145,10.7425760173
id_146,19.5245298008
id_147,7.40802885399
id_148,12.7401820497
id_149,15.4489831205
id_150,45.7835550486
id_151,19.1098074949
id_152,21.870336655
id_153,13.6865899568
id_154,15.1634140405
id_155,23.8313188225
id_156,22.2596711596
id_157,36.8608765004
id_158,5.97655040214
id_159,21.4132652273
id_160,41.2575731696
id_161,19.2650653438
id_162,64.1130795591
id_163,16.1530707808
id_164,33.9410922969
id_165,24.1235301414
id_166,25.0891373045
id_167,0.957767889552
id_168,69.2638955649
id_169,15.3336571814
id_170,15.3688064793
id_171,74.6405268875
id_172,18.836882078
id_173,3.68039864112
id_174,24.17378116
id_175,-0.106286979402
id_176,9.14063463697
id_177,19.3024931646
id_178,20.4599093383
id_179,24.6302610596
id_180,43.307994857
id_181,33.7001554216
id_182,29.3006705607
id_183,14.5872404063
id_184,6.22763875821
id_185,42.2725783834
id_186,36.0937266385
id_187,34.6372828968
id_188,16.905943831
id_189,24.0727046755
id_190,15.0859892006
id_191,14.6701110668
id_192,30.7354758411
id_193,71.7331120866
id_194,29.533789455
id_195,11.7619005668
id_196,62.5597857174
id_197,16.8707648504
id_198,20.6074455514
id_199,20.8674516591
id_200,149.973881036
id_201,23.8616377645
id_202,59.7505056516
id_203,7.62056781398
id_204,59.3850758681
id_205,34.8532366945
id_206,14.281920417
id_207,15.479694231
id_208,62.9389633846
id_209,15.685611094
id_210,39.608291152
id_211,70.8608160932
id_212,19.5790105138
id_213,100.131010694
id_214,41.5924783279
id_215,73.7213892658
id_216,99.1208724299
id_217,75.2736639947
id_218,30.2337817286
id_219,20.1445192728
id_220,31.6371462153
id_221,49.7515205175
id_222,26.8371711442
id_223,38.9245029574
id_224,42.269102
id_225,10.2978230233
id_226,6.64465351386
id_227,84.0758025962
id_228,29.6161841715
id_229,0.726921429932
id_230,40.2651953025
id_231,15.3770764025
id_232,21.8003884018
id_233,7.27242029106
id_234,16.5210153173
id_235,24.0399777361
id_236,14.4328015704
id_237,5.55340323178
id_238,23.2306752082
id_239,13.0819987433
