TestDataID,Rating
1,4.35185
2,4.06799
3,4.20899
4,2.71514
5,3.44408
6,3.53127
7,4.64092
8,3.09809
9,3.32319
10,2.86577
11,4.25263
12,3.76492
13,3.35624
14,3.64159
15,3.37197
16,3.62701
17,3.73377
18,3.93853
19,3.96953
20,3.65384
21,3.34319
22,3.97834
23,3.92852
24,3.21629
25,3.91787
26,2.93742
27,3.65903
28,3.39108
29,2.22055
30,3.40226
31,2.71226
32,3.51612
33,3.37817
34,3.07858
35,4.20463
36,4.07432
37,4.07698
38,2.87265
39,3.66578
40,2.21936
41,3.77659
42,3.95947
43,2.9792
44,4.65507
45,3.81676
46,3.76153
47,3.37797
48,3.86802
49,3.79244
50,3.89562
51,3.88485
52,3.65667
53,4.25074
54,4.56063
55,4.18239
56,3.4558
57,4.0741
58,2.7826
59,3.94747
60,3.62821
61,3.43728
62,4.09149
63,4.13402
64,4.25616
65,4.39526
66,3.74125
67,3.80257
68,4.10266
69,3.47708
70,4.39797
71,3.40543
72,4.3732
73,3.2307
74,4.05615
75,3.17308
76,3.2441
77,3.99406
78,4.25091
79,4.20732
80,4.53646
81,4.17855
82,3.59451
83,4.42976
84,4.37404
85,4.82135
86,4.03616
87,4.64235
88,4.20185
89,4.11793
90,4.07255
91,4.02926
92,4.07969
93,4.0435
94,4.45273
95,4.20567
96,4.39606
97,4.40236
98,4.31611
99,4.38529
100,4.72067
101,3.70581
102,4.16273
103,4.82198
104,4.18856
105,3.97763
106,4.18068
107,4.00963
108,4.78049
109,3.29088
110,4.03007
111,4.98328
112,4.35122
113,4.83645
114,3.52419
115,3.86784
116,2.19597
117,4.2876
118,3.32521
119,3.66207
120,2.49822
121,2.30968
122,3.23555
123,4.10637
124,2.81506
125,2.93914
126,5.16522
127,4.21867
128,4.41445
129,3.66306
130,2.83758
131,3.52406
132,3.65412
133,3.99719
134,4.20929
135,3.07249
136,3.91466
137,3.84175
138,3.88035
139,3.87825
140,3.00075
141,3.12155
142,3.66447
143,3.64974
144,3.39649
145,3.43279
146,3.12472
147,3.73896
148,4.29846
149,3.49061
150,2.99714
151,3.31534
152,3.6929
153,3.66242
154,2.74422
155,3.24555
156,3.18667
157,3.84957
158,4.24394
159,2.89977
160,4.05757
161,3.18255
162,3.07239
163,3.16016
164,3.07598
165,2.89302
166,3.43751
167,3.78873
168,3.78987
169,3.06344
170,4.68132
171,3.85226
172,4.69759
173,3.46836
174,4.44989
175,4.54807
176,4.62863
177,4.57392
178,4.99039
179,4.78677
180,3.23535
181,4.48947
182,4.54927
183,4.11007
184,3.29622
185,4.49864
186,4.05666
187,4.27086
188,3.52759
189,4.80818
190,4.29282
191,3.60451
192,4.00693
193,2.82468
194,4.57219
195,4.79992
196,2.93229
197,4.52638
198,4.46791
199,2.89323
200,4.40792
201,4.52329
202,4.72708
203,1.54583
204,3.96001
205,1.58289
206,3.52001
207,3.90009
208,4.5421
209,2.8903
210,4.258
211,3.72186
212,3.70151
213,4.62525
214,1.85927
215,4.34872
216,1.94196
217,5.10584
218,3.73839
219,3.97565
220,1.98305
221,4.88965
222,4.26759
223,5.00076
224,4.13467
225,3.23975
226,3.63195
227,1.51638
228,2.59338
229,2.36149
230,4.78108
231,4.03861
232,2.99048
233,4.33728
234,3.77775
235,3.1064
236,4.82467
237,4.09327
238,3.5857
239,3.66516
240,3.52722
241,3.55494
242,3.11542
243,3.38323
244,4.34676
245,4.20237
246,4.01751
247,3.6358
248,2.88044
249,3.64164
250,3.63511
251,3.65263
252,4.48203
253,3.41097
254,3.9066
255,3.56027
256,3.50842
257,3.57465
258,2.8969
259,3.18693
260,2.88651
261,2.89709
262,3.17277
263,2.77821
264,3.43779
265,2.00136
266,3.49795
267,3.87205
268,3.17848
269,4.02631
270,4.51941
271,2.69863
272,3.61005
273,2.95361
274,2.5895
275,4.04163
276,2.55444
277,2.50978
278,3.46359
279,3.28666
280,3.71434
281,3.53737
282,4.22517
283,3.19929
284,3.16955
285,3.26097
286,3.42238
287,3.171
288,3.54917
289,3.08006
290,3.20037
291,3.05336
292,3.23628
293,3.4175
294,3.29953
295,3.26923
296,3.53084
297,3.08324
298,4.04877
299,3.63316
300,3.38877
301,3.76323
302,4.05953
303,3.6447
304,3.42699
305,3.39334
306,3.80304
307,3.20894
308,3.45136
309,3.54151
310,4.05598
311,3.61226
312,3.67897
313,3.37846
314,3.19707
315,3.39023
316,4.15834
317,3.05863
318,4.45236
319,3.18303
320,4.35093
321,3.86965
322,3.88453
323,3.70456
324,3.88836
325,4.52861
326,3.97293
327,3.17071
328,3.15826
329,2.86693
330,3.4415
331,3.12545
332,3.46641
333,3.56901
334,3.80137
335,3.40479
336,2.68142
337,2.62521
338,2.36724
339,2.9932
340,2.94827
341,3.0521
342,1.91349
343,3.43185
344,2.98931
345,2.33639
346,3.07414
347,1.8459
348,3.19571
349,3.54414
350,2.95431
351,3.45295
352,3.4599
353,2.61115
354,3.36808
355,2.82854
356,3.72261
357,3.18896
358,2.06231
359,3.67867
360,2.77217
361,2.81007
362,3.21262
363,2.73864
364,2.43408
365,3.06822
366,2.89548
367,2.95418
368,2.86309
369,4.78029
370,4.65437
371,4.50952
372,4.57123
373,4.18872
374,3.8851
375,4.11643
376,3.85717
377,4.06595
378,4.16542
379,3.95916
380,3.63481
381,4.11051
382,3.64197
383,4.27226
384,3.04095
385,4.14431
386,3.49722
387,4.15693
388,3.42809
389,4.0786
390,3.94685
391,3.69295
392,3.33119
393,3.8018
394,3.85722
395,3.48098
396,3.33531
397,3.5522
398,3.401
399,4.30321
400,3.81251
401,3.51667
402,3.15429
403,3.40472
404,3.43618
405,3.54028
406,3.82592
407,4.10299
408,4.17127
409,3.57693
410,3.7249
411,3.7781
412,4.43265
413,4.29576
414,3.76993
415,3.70395
416,3.6032
417,3.61155
418,3.95622
419,3.81892
420,2.77687
421,3.50493
422,3.90413
